stock_code,corp_name,corp_code,modify_date
002460,화성산업,00174527,20230203
002600,조흥,00149345,20230125
002620,제일파마홀딩스,00148443,20220222
002630,오리엔트바이오,00141626,20230524
002680,한탑,00140566,20221207
002690,동일제강,00118451,20230403
002700,신일전자,00173698,20230222
002710,TCC스틸,00117300,20230220
002720,국제약품,00104722,20230223
002760,보락,00123107,20221130
002780,진흥기업,00150828,20230220
002790,아모레퍼시픽그룹,00154462,20230320
002800,신신제약,00136448,20230214
002810,삼영무역,00127167,20230222
002820,SUN&L,00132211,20230616
002840,미원상사,00121932,20230329
002870,신풍,00137368,20221128
002880,대유에이텍,00149804,20230216
002900,TYM,00117230,20230119
002920,유성기업,00174004,20230215
002960,한국쉘석유,00158149,20221202
002990,금호건설,00106313,20230216
003000,부광약품,00123718,20221209
003010,혜인,00165343,20230221
003030,세아제강지주,00124197,20221208
003060,에이프로젠바이오로직스,00101044,20231016
003070,코오롱글로벌,00152880,20230109
003080,성보화학,00132725,20230214
003090,대웅,00111810,20221214
003100,선광,00131896,20230223
003120,일성신약,00146214,20230901
003160,디아이,00118275,20221205
003200,일신방직,00146269,20221202
003220,대원제약,00111999,20230213
003230,삼양식품,00126955,20230814
003240,태광산업,00153393,20221215
003280,흥아해운,00167208,20231010
003300,한일홀딩스,00162993,20230112
003310,대주산업,00112457,20230515
003350,한국화장품제조,00160621,20221206
003380,하림지주,00148364,20230220
003410,쌍용씨앤이,00138224,20230104
003460,유화증권,00145190,20230222
003470,유안타증권,00117601,20221227
003480,한진중공업홀딩스,00163673,20230223
003490,대한항공,00113526,20221229
003520,영진약품,00141149,20220907
003530,한화투자증권,00148610,20230725
003540,대신증권,00110893,20230131
003550,LG,00120021,20221220
003560,아이에이치큐,00154426,20231024
003570,SNT다이내믹스,00134477,20230315
003580,HLB글로벌,00169048,20230630
003610,방림,00122348,20220831
003620,KG모빌리티,00138242,20230403
003650,미창석유공업,00122056,20220223
003670,포스코퓨처엠,00155276,20230620
003680,한성기업,00161860,20230223
003690,코리안리,00113191,20230106
003720,삼영,00127255,20230424
003780,진양산업,00150439,20230317
003800,에이스침대,00140052,20230215
003830,대한화섬,00113544,20230109
003850,보령,00123143,20230814
003920,남양유업,00107598,20221219
003960,사조대림,00109718,20230221
004000,롯데정밀화학,00157681,20221202
004020,현대제철,00145880,20230113
004060,SG세계물산,00133511,20221209
004080,신흥,00173795,20221202
004090,한국석유공업,00157991,20220901
004100,태양금속공업,00153755,20221214
004140,동방,00115287,20221124
004150,한솔홀딩스,00171636,20230216
004170,신세계,00136378,20221228
004250,엔피씨,00108038,20230912
004270,남성,00172185,20230203
004310,현대약품,00164706,20221108
004360,세방,00133812,20230214
004370,농심,00108241,20230327
004380,삼익THK,00127802,20230228
004410,서울식품공업,00130879,20221212
004430,송원산업,00134963,20230215
004440,삼일씨엔에스,00109806,20230913
004450,삼화왕관,00129235,20231005
004490,세방전지,00133858,20230317
004540,깨끗한나라,00113492,20211202
004560,현대비앤지스틸,00125743,20230221
004590,한국가구,00156442,20221202
004650,창해에탄올,00123523,20221202
004690,삼천리,00128555,20230106
004700,조광피혁,00148939,20220221
004710,한솔테크닉스,00157399,20230504
004720,팜젠사이언스,00135050,20221205
004770,써니전자,00138057,20221129
004780,대륙제관,00109587,20221212
004800,효성,00117188,20230109
004830,덕성,00114093,20221109
004840,DRB동일,00118266,20230324
004870,티웨이홀딩스,00109514,20230809
004890,동일산업,00172936,20221215
004910,조광페인트,00148920,20221208
004920,씨아이테크,00127158,20221205
004960,한신공영,00162063,20220224
004970,신라교역,00135962,20230215
004980,성신양회,00132804,20230116
004990,롯데지주,00120562,20230109
005010,휴스틸,00156488,20230223
005030,부산주공,00124151,20221213
005070,코스모신소재,00129989,20230222
005090,SGC에너지,00125150,20230216
005110,한창,00163716,20230908
005160,동국산업,00172680,20230106
005180,빙그레,00124726,20230220
005250,녹십자홀딩스,00108135,20230220
005290,동진쎄미켐,00118804,20230215
005300,롯데칠성음료,00120571,20231024
005320,국동,00168331,20230202
005360,모나미,00121288,20230220
005380,현대자동차,00164742,20230103
005390,신성통상,00136341,20220614
005420,코스모화학,00160302,20221212
005430,한국공항,00156691,20230323
005440,현대지에프홀딩스,00105280,20231030
005490,POSCO홀딩스,00155319,20230621
005500,삼진제약,00128412,20230119
005610,SPC삼립,00125530,20221124
005670,푸드웰,00165103,20230329
005680,삼영전자공업,00127200,20221206
005690,파미셀,00145163,20220218
005710,대원산업,00111874,20211213
005720,넥센,00167192,20211209
005740,크라운해태홀딩스,00153126,20230215
005750,대림비앤코,00109754,20221025
005800,신영와코루,00136624,20230223
005810,풍산홀딩스,00155531,20230711
005820,원림,00143794,20220225
005830,DB손해보험,00159102,20230110
005850,에스엘,00125521,20230704
005860,한일사료,00162911,20230223
005870,휴니드테크놀러지스,00111421,20220215
005880,대한해운,00113535,20221227
005930,삼성전자,00126380,20230110
005940,NH투자증권,00120182,20230110
005950,이수화학,00145552,20230525
005960,동부건설,00115612,20230323
005990,매일홀딩스,00120924,20230223
006040,동원산업,00118026,20230613
006050,국영지앤엠,00104537,20221214
006060,화승인더스트리,00166227,20230214
006090,사조오양,00141875,20230511
006110,삼아알미늄,00126779,20220713
006120,SK디스커버리,00131832,20230330
006140,피제이전자,00155735,20221213
006200,한국전자홀딩스,00159254,20220802
006220,제주은행,00148832,20230104
006260,LS,00105952,20230106
006280,녹십자,00129679,20230220
006340,대원전선,00260392,20211229
006360,GS건설,00120030,20230208
006370,대구백화점,00108977,20221128
006380,카프로,00159810,20230726
006390,한일현대시멘트,00164672,20220224
006400,삼성SDI,00126362,20230109
006490,인스코비,00122825,20230313
006570,대림통상,00109824,20230404
006580,대양제지,00111227,20221205
006620,동구바이오제약,00114686,20220221
006650,대한유화,00260383,20221215
006660,삼성공조,00126201,20230526
006730,서부T&D,00130383,20221205
006740,영풍제지,00141404,20221114
006800,미래에셋증권,00111722,20231027
006840,AK홀딩스,00125080,20230111
006880,신송홀딩스,00136402,20230222
006890,태경케미컬,00109161,20221208
006910,보성파워텍,00267881,20211206
006920,모헨즈,00163318,20230327
006980,우성,00142661,20221129
007070,GS리테일,00140177,20221230
007110,일신석재,00146296,20230111
007120,미래아이앤지,00104786,20230222
007160,사조산업,00124799,20221209
007210,벽산,00122898,20221205
007280,한국특강,00124090,20221129
007310,오뚜기,00141529,20221219
007330,푸른저축은행,00124805,20230105
007340,DN오토모티브,00116949,20230412
007370,진양제약,00150536,20230323
007390,네이처셀,00117276,20230413
007460,에이프로젠,00152385,20230828
007530,와이엠,00140858,20230426
007540,샘표,00130091,20230221
007570,일양약품,00146454,20230413
007590,동방아그로,00115384,20221129
007610,선도전기,00131939,20221125
007660,이수페타시스,00107613,20230403
007680,대원,00111838,20230223
007690,국도화학,00104388,20221110
007700,F&F 홀딩스,00126487,20230217
007720,대명소노시즌,00104810,20230901
007770,한일화학,00267979,20220224
007810,코리아써키트,00152686,20230220
007820,에스엠코어,00137915,20230330
007860,서연,00163114,20230216
007980,태평양물산,00154329,20230215
008040,사조동아원,00137252,20221202
008060,대덕,00109189,20230216
008110,대동전자,00157104,20220316
008250,이건산업,00145446,20230530
008260,NI스틸,00116301,20230327
008290,원풍물산,00144021,20230727
008350,남선알미늄,00107224,20220331
008370,원풍,00144012,20230331
008420,문배철강,00121570,20230327
008470,부스타,00124276,20221116
008490,서흥,00131692,20221209
008500,일정실업,00146542,20230424
008600,윌비스,00104999,20221201
008700,아남전자,00138516,20220225
008730,율촌화학,00145260,20220221
008770,호텔신라,00165680,20221209
008830,대동기어,00109310,20230323
008870,금비,00168401,20220816
008930,한미사이언스,00161426,20230112
008970,동양철관,00117629,20230220
009070,케이씨티시,00103042,20220328
009140,경인전자,00102140,20221202
009150,삼성전기,00126371,20230102
009160,SIMPAC,00138260,20230109
009180,한솔로지스틱스,00140946,20220224
009190,대양금속,00111111,20221205
009200,무림페이퍼,00136086,20230220
009240,한샘,00161693,20231017
009270,신원,00136864,20230221
009290,광동제약,00103592,20221206
009300,삼아제약,00126788,20230206
009310,참엔지니어링,00153621,20230724
009320,대우부품,00111689,20221129
009410,태영건설,00153861,20221206
009420,한올바이오파마,00162586,20230330
009440,KC그린홀딩스,00159971,20221213
009450,경동나비엔,00101488,20221202
009460,한창제지,00163761,20230822
009470,삼화전기,00129271,20230216
009520,포스코엠텍,00128111,20230322
009540,HD한국조선해양,00164830,20230502
009580,무림P&P,00119007,20230220
009620,삼보산업,00125822,20230403
009680,모토닉,00151128,20230427
009730,코센,00116426,20221206
009770,삼정펄프,00128227,20230215
009780,엠에스씨,00121154,20221201
009810,플레이그램,00103130,20230206
009830,한화솔루션,00162461,20230302
009900,명신산업,00173078,20230330
009970,영원무역홀딩스,00140964,20230223
010040,한국내화,00160205,20230222
010060,OCI홀딩스,00148896,20231026
010100,한국무브넥스,00160418,20230510
010120,엘에스일렉트릭,00105855,20230331
010130,고려아연,00102858,20230320
010140,삼성중공업,00126478,20230320
010170,대한광통신,00113261,20221128
010240,흥국,00167031,20230223
010280,쌍용정보통신,00138303,20230912
010400,우진아이엔에스,00143262,20230210
010420,한솔피엔에스,00103626,20230711
010470,오리콤,00141671,20221201
010580,에스엠벡셀,00147860,20230703
010600,웰바이오텍,00141273,20231016
010620,현대미포조선,00164609,20230330
010640,진양폴리우레탄,00160375,20230315
010660,화천기계,00166500,20231024
010690,화신,00166315,20230216
010770,평화홀딩스,00155124,20230330
010780,아이에스동서,00115977,20230825
010820,퍼스텍,00148522,20230216
010950,S-Oil,00138279,20230510
010960,삼호개발,00128980,20211206
011000,진원생명과학,00118521,20221124
011040,경동제약,00101549,20220330
011070,LG이노텍,00105961,20230724
011080,형지I&C,00142713,20230904
011090,에넥스,00139764,20221130
011150,CJ씨푸드,00129013,20230210
011170,롯데케미칼,00165413,20230516
011200,HMM,00164645,20221227
011210,현대위아,00106623,20221228
011230,삼화전자공업,00129280,20221103
011280,태림포장,00153524,20220120
011300,성안,00132868,20230619
011320,유니크,00147152,20220224
011330,유니켐,00137207,20230925
011370,서한,00131504,20221213
011390,부산산업,00124027,20230221
011420,갤럭시아에스엠,00129554,20211213
011500,한농화성,00160861,20221109
011560,세보엠이씨,00133876,20230222
011690,와이투솔루션,00144720,20230425
011700,한신기계공업,00162072,20230222
011760,현대코퍼레이션,00164812,20230216
011780,금호석유화학,00106368,20230104
011790,SKC,00139889,20221228
011810,STX,00138297,20221206
011930,신성이엔지,00136271,20230516
012030,DB,00163345,20221214
012160,영흥,00141477,20230403
012170,아센디오,00145437,20221118
012200,계양전기,00102618,20221212
012210,삼미금속,00125664,20230516
012280,영화금속,00141413,20221205
012320,경동인베스트,00143527,20230216
012330,현대모비스,00164788,20230113
012340,뉴인텍,00105040,20230502
012450,한화에어로스페이스,00126566,20230109
012510,더존비즈온,00172291,20221223
012600,청호ICT,00151863,20230921
012610,경인양행,00102113,20230227
012620,원일특강,00143907,20220324
012630,HDC,00164636,20221205
012690,모나리자,00173102,20221208
012700,리드코프,00117708,20230403
012750,에스원,00158501,20221228
012790,신일제약,00137058,20221208
012800,대창,00112651,20221219
012860,모베이스전자,00137234,20221129
013000,세우글로벌,00134176,20230518
013030,하이록코리아,00165060,20230223
013120,동원개발,00117966,20221207
013310,아진산업,00139083,20221202
013360,일성건설,00146232,20220217
013520,화승코퍼레이션,00166272,20220228
013570,디와이,00117179,20230327
013580,계룡건설산업,00102432,20230329
013700,까뮤이앤씨,00129420,20221125
013720,CBI,00151605,20211229
013810,스페코,00136165,20221209
013870,지엠비코리아,00156354,20230223
013890,지누스,00150633,20220401
013990,아가방컴퍼니,00138446,20221212
014100,메디앙스,00267854,20221207
014130,한익스프레스,00129509,20230215
014160,대영포장,00111458,20220405
014190,원익큐브,00128175,20230223
014200,광림,00103635,20230925
014280,금강공업,00105299,20230131
014440,영보화학,00140779,20221208
014470,부방,00243067,20230502
014530,극동유화,00105156,20220216
014570,고려제약,00103015,20221117
014580,태경비케이,00122481,20230221
014620,성광벤드,00132318,20211207
014680,한솔케미칼,00140955,20221130
014710,사조씨푸드,00124780,20230712
014790,HL D&I,00161116,20230324
014820,동원시스템즈,00132637,20230404
014830,유니드,00159786,20230317
014910,성문전자,00132628,20221125
014940,오리엔탈정공,00141608,20230222
014970,삼륭물산,00125488,20220222
014990,인디에프,00106881,20221209
015020,이스타코,00134565,20230403
015230,대창단조,00112679,20230222
015260,에이엔피,00143314,20221209
015360,예스코홀딩스,00105101,20221201
015540,에코바이브,00108065,20230927
015590,KIB플러그에너지,00108746,20230801
015710,코콤,00187725,20221207
015750,성우하이텍,00132992,20211210
015760,한국전력공사,00159193,20230920
015860,일진홀딩스,00146649,20220222
015890,태경산업,00153339,20230403
016090,대현,00113614,20220602
016100,리더스코스메틱,00180263,20221215
016250,SGC이테크건설,00141246,20230222
016360,삼성증권,00104856,20221207
016380,KG스틸,00115676,20230605
016450,한세예스24홀딩스,00161976,20221212
016580,환인제약,00166573,20230216
016590,신대양제지,00135777,20220627
016600,큐캐피탈,00267942,20221206
016610,DB금융투자,00115694,20230406
016670,디모아,00125725,20221130
016710,대성홀딩스,00108940,20230621
016740,두올,00119672,20230220
016790,카나리아바이오,00164618,20230413
016800,퍼시스,00161709,20221207
016880,웅진,00143651,20230327
016920,카스,00152260,20221205
017000,신원종합개발,00136925,20230215
017040,광명전기,00103662,20230223
017180,명문제약,00121039,20221209
017250,인터엠,00145914,20220908
017370,우신시스템,00142883,20221202
017390,서울도시가스,00130684,20221205
017480,삼현철강,00128926,20230120
017510,세명전기,00133751,20221202
017550,수산중공업,00135111,20230811
017650,대림제지,00109781,20230228
017670,SK텔레콤,00159023,20230217
017800,현대엘리베이터,00164724,20230110
017810,풀무원,00155355,20230404
017890,한국알콜,00158565,20221202
017900,광전자,00152729,20230330
017940,E1,00165583,20230105
017960,한국카본,00159795,20221206
018000,유니슨,00144243,20230403
018120,진로발효,00170877,20220228
018250,애경산업,00139454,20220516
018260,삼성에스디에스,00126186,20221130
018290,브이티,00150165,20230721
018310,삼목에스폼,00125646,20221209
018470,조일알미늄,00149239,20230209
018500,동원금속,00118008,20220311
018620,우진비앤지,00103547,20230331
018670,SK가스,00144164,20230104
018680,서울제약,00131018,20221202
018700,바른손,00122205,20230630
018880,한온시스템,00161125,20230811
019010,베뉴지,00267906,20230220
019170,신풍제약,00137359,20230220
019180,티에이치엔,00118965,20220228
019210,와이지-원,00139719,20221129
019440,세아특수강,00133991,20221206
019490,하이트론씨스템즈,00156150,20230718
019540,일지테크,00146560,20221205
019550,SBI인베스트먼트,00156910,20230330
019570,리더스 기술투자,00110750,20230918
019590,엠벤처투자,00136642,20231018
019660,글로본,00159731,20221207
019680,대교,00108913,20221129
019770,서연탑메탈,00153278,20221206
019990,에너토크,00169215,20221128
020000,한섬,00188089,20230103
020120,키다리스튜디오,00140131,20230102
020150,롯데에너지머티리얼즈,00113997,20230331
020180,대신정보통신,00110875,20220526
020400,대동금속,00191287,20230907
020560,아시아나항공,00138792,20230403
020710,시공테크,00170026,20230404
020760,일진디스플,00198697,20221202
021040,대호특수강,00166175,20230802
021050,서원,00131197,20221129
021080,에이티넘인베스트,00161462,20230110
021240,코웨이,00170558,20230103
021320,KCC건설,00105466,20230327
021650,한국큐빅,00160010,20221206
021820,세원정공,00134316,20220629
021880,메이슨캐피탈,00136101,20230220
022100,포스코DX,00155212,20230414
022220,TKG애강,00140061,20230330
023000,삼원강재,00191588,20230323
023150,MH에탄올,00121534,20220325
023160,태광,00153375,20230223
023350,한국종합기술,00159500,20221209
023410,유진기업,00184667,20230920
023440,제이스코홀딩스,00148531,20221213
023450,동남합성,00115065,20221229
023460,CNH,00149266,20230502
023530,롯데쇼핑,00120526,20230109
023590,다우기술,00176914,20230217
023600,삼보판지,00125938,20211207
023760,한국캐피탈,00149594,20230404
023770,플레이위드,00138367,20221101
023790,동일철강,00172945,20230330
023800,인지컨트롤스,00103510,20230329
023810,인팩,00180795,20230427
023900,풍국주정,00155452,20221222
023910,대한약품,00113128,20230404
023960,에쓰씨엔지니어링,00121969,20221129
024060,흥구석유,00167004,20221209
024070,WISCOM,00142865,20230327
024090,디씨엠,00177199,20221212
024110,기업은행,00149646,20230111
024120,KB오토시스,00157539,20221205
024720,한국콜마홀딩스,00203290,20230119
024740,한일단조,00162832,20221125
024800,유성티엔에스,00173999,20230223
024810,이화전기,00145738,20230818
024830,세원물산,00173591,20221205
024840,KBI메탈,00158024,20230220
024850,HLB이노베이션,00155586,20230912
024880,케이피에프,00157636,20230216
024890,대원화성,00112022,20221214
024900,덕양산업,00114154,20230712
024910,경창산업,00102353,20220331
024940,PN풍년,00133557,20221212
024950,삼천리자전거,00128607,20221129
025000,KPX케미칼,00191472,20221202
025320,시노펙스,00203023,20230221
025440,DH오토웨어,00110583,20230221
025530,에스제이엠홀딩스,00181943,20230223
025540,한국단자공업,00157070,20230217
025550,한국선재,00158015,20230327
025560,미래산업,00197759,20230714
025620,제이준코스메틱,00136776,20230824
025750,한솔홈데코,00203582,20230217
025770,한국정보통신,00159342,20230215
025820,이구산업,00145464,20230221
025860,남해화학,00107987,20221207
025870,신라에스지,00136004,20221206
025880,케이씨피드,00101752,20221206
025890,한국주강,00159564,20221122
025900,동화기업,00173032,20230331
025950,동신건설,00116408,20221202
025980,아난티,00161781,20230222
026040,제이에스티나,00120289,20230320
026150,특수건설,00186939,20211213
026890,스틱인베스트먼트,00117498,20220228
026910,광진실업,00104120,20231004
026940,부국철강,00123781,20221201
026960,동서,00144395,20230217
027040,서울전자통신,00130587,20230502
027050,코리아나,00152589,20230223
027360,아주IB투자,00156895,20230223
027410,BGF,00219097,20221208
027580,상보,00129615,20230216
027710,팜스토리,00192499,20230223
027740,마니커,00204208,20230915
027830,대성창투,00109037,20221125
027970,한국제지,00133706,20230818
028050,삼성엔지니어링,00126308,20230119
028080,휴맥스홀딩스,00219440,20221202
028100,동아지질,00178754,20220324
028260,삼성물산,00149655,20230320
028300,HLB,00199252,20230707
028670,팬오션,00122737,20221209
029460,케이씨,00209780,20230330
029480,광무,00186452,20221207
029530,신도리코,00135795,20230217
029780,삼성카드,00126292,20230105
029960,코엔텍,00197476,20230214
030000,제일기획,00148276,20230206
030190,NICE평가정보,00158325,20230808
030200,케이티,00190321,20230831
030210,다올투자증권,00156859,20230327
030350,드래곤플라이,00230036,20221208
030520,한글과컴퓨터,00204262,20230214
030530,원익홀딩스,00216647,20230220
030610,교보증권,00113359,20230102
030720,동원수산,00118044,20230502
030790,비케이탑스,00273615,20221028
030960,양지사,00139685,20220613
031310,아이즈비전,00200910,20221205
031330,에스에이엠티,00128661,20230215
031430,신세계인터내셔날,00234412,20230324
031440,신세계푸드,00274933,20220216
031510,오스템,00175173,20230224
031820,콤텍시스템,00186559,20221207
031860,에스유홀딩스,00180865,20230828
031980,피에스케이홀딩스,00208444,20230223
032080,아즈텍WB,00201131,20221202
032190,다우데이타,00238782,20230217
032280,삼일,00127909,20230215
032300,한국파마,00187770,20220225
032350,롯데관광개발,00231372,20221207
032500,케이엠더블유,00226352,20230223
032540,TJ미디어,00201733,20221115
032560,황금에스티,00218575,20220518
032580,피델릭스,00189538,20230112
032620,유비케어,00220057,20230104
032640,LG유플러스,00231363,20221213
032680,소프트센,00204226,20230502
032750,삼진,00173351,20221202
032790,엠젠솔루션,00110884,20230516
032800,판타지오,00231691,20230109
032820,우리기술,00231044,20220228
032830,삼성생명,00126256,20230103
032850,비트컴퓨터,00231707,20221207
032860,더라미,00205687,20230915
032940,원익,00210980,20221206
032960,동일기연,00199076,20221209
032980,바이온,00232089,20230320
033050,제이엠아이,00222435,20221212
033100,제룡전기,00185356,20221212
033130,디지틀조선,00231442,20221026
033160,엠케이전자,00121686,20230403
033170,시그네틱스,00158219,20221130
033180,KH 필룩스,00193009,20230712
033200,모아텍,00241209,20220520
033230,인성정보,00229021,20230216
033240,자화전자,00146861,20221214
033250,체시스,00125576,20231004
033270,유나이티드,00158963,20230208
033290,코웰패션,00155948,20230403
033310,엠투엔,00143226,20230403
033320,제이씨현시스템,00223513,20221212
033340,좋은사람들,00205003,20230817
033500,동성화인텍,00231105,20230713
033530,세종공업,00134510,20230329
033540,파라텍,00105138,20230612
033560,블루콤,00238001,20221206
033640,네패스,00227333,20230222
033780,케이티앤지,00244455,20221228
033790,스카이문스테크놀로지,00276083,20230817
033830,티비씨,00204642,20230427
033920,무학,00121543,20230222
034020,두산에너빌리티,00159616,20230111
034120,SBS,00130772,20230207
034220,LG디스플레이,00105873,20230102
034230,파라다이스,00171265,20221201
034300,신세계건설,00217947,20230324
034310,NICE,00158316,20230223
034590,인천도시가스,00145862,20230320
034730,SK,00181712,20230203
034810,해성산업,00219361,20230403
034830,한국토지신탁,00233653,20221206
034940,조아제약,00231831,20221207
034950,한국기업평가,00156956,20220222
035000,HS애드,00140168,20230718
035080,그래디언트,00244561,20230403
035150,백산,00122551,20221202
035200,프럼파스트,00356389,20230502
035250,강원랜드,00255619,20221230
035290,골드앤에스,00249502,20230607
035420,NAVER,00266961,20230110
035460,기산텔레콤,00258421,20230220
035510,신세계I&C,00219486,20230329
035600,KG이니시스,00264547,20230324
035610,솔본,00249982,20230223
035620,바른손이앤에이,00259590,20221130
035720,카카오,00258801,20230130
035760,CJ ENM,00265324,20230329
035810,이지홀딩스,00242378,20230217
035890,서희건설,00219848,20230809
035900,JYP Ent.,00258689,20221206
036000,예림당,00259934,20221201
036010,아비코전자,00138598,20221202
036030,케이티알파,00260958,20230403
036090,위지트,00258360,20230215
036120,SCI평가정보,00260745,20230330
036170,클라우드에어,00232821,20221219
036180,지더블유바이텍,00257149,20221130
036190,금화피에스시,00176516,20230217
036200,유니셈,00260569,20221209
036420,콘텐트리중앙,00203315,20230330
036460,한국가스공사,00261285,20230113
036480,대성미생물,00177320,20230327
036530,SNT홀딩스,00225159,20230222
036540,SFA반도체,00301246,20230811
036560,영풍정밀,00141389,20230207
036570,엔씨소프트,00261443,20230127
036580,팜스코,00260408,20230421
036620,감성코퍼레이션,00261009,20221118
036630,세종텔레콤,00268002,20230329
036640,HRS,00230911,20230220
036670,KCI,00265041,20230220
036690,코맥스,00268118,20221202
036710,심텍홀딩스,00152127,20230221
036800,나이스정보통신,00264945,20220707
036810,에프에스티,00223434,20221213
036830,솔브레인홀딩스,00247975,20220330
036890,진성티이씨,00174208,20230203
036930,주성엔지니어링,00252135,20230223
037030,파워넷,00231354,20230209
037070,파세코,00238153,20221129
037230,한국팩키지,00198192,20230327
037270,YG PLUS,00249247,20230220
037330,인지디스플레,00265421,20221206
037350,성도이엔지,00216498,20230216
037370,EG,00261054,20230502
037400,우리엔터프라이즈,00155692,20230103
037440,희림,00236863,20220218
037460,삼지전자,00128315,20230222
037560,LG헬로비전,00222532,20230216
037710,광주신세계,00220561,20230221
037760,쎄니트,00239596,20230217
037950,엘컴텍,00242712,20221206
038010,제일테크노스,00148595,20221205
038060,루멘스,00406329,20221212
038070,서린바이오,00373447,20221209
038110,에코플라스틱,00139153,20230824
038290,마크로젠,00261373,20231027
038340,MIT,00215976,20230405
038390,레드캡투어,00261355,20230214
038460,바이오스마트,00240857,20221206
038500,삼표시멘트,00239639,20230831
038530,케이바이오,00255105,20230818
038540,상상인,00306162,20230220
038620,위즈코프,00264228,20221208
038680,에스넷,00264635,20221130
038870,에코바이오,00287812,20211210
038880,아이에이,00252269,20221212
038950,파인디지털,00264732,20221208
039010,현대에이치티,00255044,20230216
039020,이건홀딩스,00184889,20230530
039030,이오테크닉스,00246417,20230220
039130,하나투어,00269940,20230103
039200,오스코텍,00263654,20230217
039240,경남스틸,00206039,20221206
039290,인포뱅크,00243757,20230216
039310,세중,00264671,20230502
039340,한국경제TV,00263371,20221208
039420,케이엘넷,00246620,20221125
039440,에스티아이,00298340,20230216
